AAR,BYDEL,ALDER,STATKODE,PERSONER
2015,1,27,5448,7
2015,1,27,5474,12
2015,1,27,5484,1
2015,1,27,5492,2
2015,1,27,5502,4
2015,1,27,5514,1
2015,1,27,5607,3
2015,1,27,5611,1
2015,1,27,5700,3
2015,1,27,5716,1
2015,1,27,5750,2
2015,1,27,5757,1
2015,1,27,5776,1
2015,1,27,5778,1
2015,1,28,5100,983
2015,1,28,5104,4
2015,1,28,5106,5
2015,1,28,5110,25
2015,1,28,5120,32
2015,1,28,5126,2
2015,1,28,5128,2
2015,1,28,5130,8
2015,1,28,5134,5
2015,1,28,5140,5
2015,1,28,5142,1
2015,1,28,5150,18
2015,1,28,5154,9
2015,1,28,5156,6
2015,1,28,5158,8
2015,1,28,5160,2
2015,1,28,5164,7
2015,1,28,5170,13
2015,1,28,5172,2
2015,1,28,5174,1
2015,1,28,5180,28
2015,1,28,5182,1
2015,1,28,5244,1
2015,1,28,5246,1
2015,1,28,5269,1
2015,1,28,5272,1
2015,1,28,5288,1
2015,1,28,5289,1
2015,1,28,5302,2
2015,1,28,5306,1
2015,1,28,5316,1
2015,1,28,5338,1
2015,1,28,5358,1
2015,1,28,5390,13
2015,1,28,5424,1
2015,1,28,5432,11
2015,1,28,5434,1
2015,1,28,5438,2
2015,1,28,5444,2
2015,1,28,5448,14
2015,1,28,5456,1
2015,1,28,5472,2
2015,1,28,5474,9
2015,1,28,5488,1
2015,1,28,5492,2
2015,1,28,5502,4
2015,1,28,5514,1
2015,1,28,5609,2
2015,1,28,5611,4
2015,1,28,5700,2
2015,1,28,5704,2
2015,1,28,5716,2
2015,1,28,5720,1
2015,1,28,5754,1
2015,1,28,5756,1
2015,1,28,5757,1
2015,1,28,5776,2
2015,1,28,5778,1
2015,1,29,5100,881
2015,1,29,5104,9
2015,1,29,5106,5
2015,1,29,5110,21
2015,1,29,5120,25
2015,1,29,5122,1
2015,1,29,5126,1
2015,1,29,5128,3
2015,1,29,5130,11
2015,1,29,5134,4
2015,1,29,5140,9
2015,1,29,5142,2
2015,1,29,5150,21
2015,1,29,5151,1
2015,1,29,5154,5
2015,1,29,5156,8
2015,1,29,5158,3
2015,1,29,5164,11
2015,1,29,5170,16
2015,1,29,5172,1
2015,1,29,5174,3
2015,1,29,5180,22
2015,1,29,5182,2
2015,1,29,5302,2
2015,1,29,5306,2
2015,1,29,5314,6
2015,1,29,5318,1
2015,1,29,5354,2
2015,1,29,5390,16
2015,1,29,5392,1
2015,1,29,5422,1
2015,1,29,5432,5
2015,1,29,5436,1
2015,1,29,5438,2
2015,1,29,5442,2
2015,1,29,5444,1
2015,1,29,5448,12
2015,1,29,5464,1
2015,1,29,5472,1
2015,1,29,5474,5
2015,1,29,5482,1
2015,1,29,5492,2
2015,1,29,5502,1
2015,1,29,5611,1
2015,1,29,5700,2
2015,1,29,5704,3
2015,1,29,5708,1
2015,1,29,5716,3
2015,1,29,5750,1
2015,1,29,5752,1
2015,1,29,5776,2
2015,1,30,5100,793
2015,1,30,5104,3
2015,1,30,5106,6
2015,1,30,5110,17
2015,1,30,5120,25
2015,1,30,5130,10
2015,1,30,5134,2
2015,1,30,5140,9
2015,1,30,5150,16
2015,1,30,5151,1
2015,1,30,5154,7
2015,1,30,5156,3
2015,1,30,5158,7
2015,1,30,5160,1
2015,1,30,5164,7
2015,1,30,5170,14
2015,1,30,5172,5
2015,1,30,5174,1
2015,1,30,5180,17
2015,1,30,5228,1
2015,1,30,5244,1
2015,1,30,5262,5
2015,1,30,5272,1
2015,1,30,5282,1
2015,1,30,5302,1
2015,1,30,5306,5
2015,1,30,5314,3
2015,1,30,5338,1
2015,1,30,5348,1
2015,1,30,5390,14
2015,1,30,5432,5
2015,1,30,5436,1
2015,1,30,5438,1
2015,1,30,5442,1
2015,1,30,5444,4
2015,1,30,5448,9
2015,1,30,5472,2
2015,1,30,5474,10
2015,1,30,5482,2
2015,1,30,5492,3
2015,1,30,5502,6
2015,1,30,5607,2
2015,1,30,5609,2
2015,1,30,5611,4
2015,1,30,5700,5
2015,1,30,5704,2
2015,1,30,5706,1
2015,1,30,5716,1
2015,1,30,5750,1
2015,1,30,5754,1
2015,1,30,5756,1
2015,1,31,5100,747
2015,1,31,5104,7
2015,1,31,5106,5
2015,1,31,5110,16
2015,1,31,5120,14
2015,1,31,5126,1
2015,1,31,5130,10
2015,1,31,5134,5
2015,1,31,5140,5
2015,1,31,5142,3
2015,1,31,5150,17
2015,1,31,5154,12
2015,1,31,5156,2
2015,1,31,5158,6
2015,1,31,5160,2
2015,1,31,5164,15
2015,1,31,5170,20
2015,1,31,5172,2
2015,1,31,5174,1
2015,1,31,5180,11
2015,1,31,5182,1
2015,1,31,5244,1
2015,1,31,5262,1
2015,1,31,5269,1
2015,1,31,5289,1
2015,1,31,5294,1
2015,1,31,5302,1
2015,1,31,5306,4
2015,1,31,5314,3
2015,1,31,5318,1
2015,1,31,5354,1
2015,1,31,5390,16
2015,1,31,5410,2
2015,1,31,5432,14
2015,1,31,5436,1
2015,1,31,5438,8
2015,1,31,5444,2
2015,1,31,5448,9
2015,1,31,5464,1
2015,1,31,5474,6
2015,1,31,5478,1
2015,1,31,5482,1
2015,1,31,5488,1
2015,1,31,5492,4
2015,1,31,5496,1
2015,1,31,5502,11
2015,1,31,5607,1
2015,1,31,5609,2
2015,1,31,5611,3
2015,1,31,5700,8
2015,1,31,5704,2
2015,1,31,5714,1
2015,1,31,5750,1
2015,1,31,5752,2
2015,1,31,5757,1
2015,1,31,5778,2
2015,1,32,5100,712
2015,1,32,5104,6
2015,1,32,5106,5
2015,1,32,5110,4
2015,1,32,5120,13
2015,1,32,5126,3
2015,1,32,5128,3
2015,1,32,5130,14
2015,1,32,5134,4
2015,1,32,5140,4
2015,1,32,5142,3
2015,1,32,5150,14
2015,1,32,5154,8
2015,1,32,5156,2
2015,1,32,5158,4
2015,1,32,5160,2
2015,1,32,5164,4
2015,1,32,5170,14
2015,1,32,5174,1
2015,1,32,5180,12
2015,1,32,5234,1
2015,1,32,5244,3
2015,1,32,5269,2
2015,1,32,5272,1
2015,1,32,5278,1
2015,1,32,5306,3
2015,1,32,5314,3
2015,1,32,5316,2
2015,1,32,5318,1
2015,1,32,5354,2
2015,1,32,5366,1
2015,1,32,5390,14
2015,1,32,5432,6
2015,1,32,5434,1
2015,1,32,5438,3
2015,1,32,5442,3
2015,1,32,5444,1
2015,1,32,5448,8
2015,1,32,5458,1
2015,1,32,5472,1
2015,1,32,5474,2
2015,1,32,5478,1
2015,1,32,5482,1
2015,1,32,5484,2
2015,1,32,5492,2
2015,1,32,5502,4
2015,1,32,5514,1
2015,1,32,5607,2
2015,1,32,5611,2
2015,1,32,5700,3
2015,1,32,5704,1
2015,1,32,5716,1
2015,1,32,5724,1
2015,1,32,5750,2
2015,1,32,5752,1
2015,1,32,5756,1
2015,1,32,5757,1
2015,1,32,5776,2
2015,1,32,5778,1
2015,1,33,5100,640
2015,1,33,5103,1
2015,1,33,5104,8
2015,1,33,5106,2
2015,1,33,5110,6
2015,1,33,5120,29
2015,1,33,5128,1
2015,1,33,5130,10
2015,1,33,5134,3
2015,1,33,5140,2
2015,1,33,5142,2
2015,1,33,5150,15
2015,1,33,5154,4
2015,1,33,5156,2
2015,1,33,5158,5
2015,1,33,5164,8
2015,1,33,5170,20
2015,1,33,5172,5
2015,1,33,5174,1
2015,1,33,5180,23
2015,1,33,5244,2
2015,1,33,5262,1
2015,1,33,5272,1
2015,1,33,5306,3
